beneath-a-steel-sky,0.0372-8,
berusky,1.7.2-3build2,
berusky2,0.12-4,
bespokesynth,1.2.1+dfsg-4build4,
betaradio,1.6-1build3,
between,6+dfsg1-4,
bibledit,5.1.002-1build5,
bibletime,3.0.3-3build2,
bibshelf,1.6.0-0ubuntu9,
biglybt,3.4.0.0-1,
bijiben,40.1-6build4,
billard-gl,1.75-17build2,
biloba,0.9.3-11,
biniax2,1.30-7,
bino,2.1-1build2,
biogenesis,0.8-3.1,
birdfont,2.33.1-3build3,
bisheng-engine,2.0.14-1,
bitsnpicas,2.0+ds-2,
biz.zcjt.gaopaiyi,1.0.0,
biz.zcjt.scanner,1.0.2.0,
biz.zcjt.zc-a5930dn,1.0.0-23166,
biz.zcjt.zc-a5933dn,1.0.0-23324,
biz.zcjt.zhongchu-sane,20240911-6.6.10.030,
bkchem,0.14.0~pre4+git20211228-3,
black-box,1.4.8-4build1,
blackbox-terminal,0.14.0-2build2,
blastem,0.6.3.4-1build1,
bleachbit,4.6.0-3,
blender,4.0.2+dfsg-1ubuntu8,
blinken,23.08.5-0ubuntu4,
blobandconquer,1.11-dfsg+20-2,
blobby,1.1+ds-1ubuntu1,
bloboats,1.0.2+dfsg-4,
blobwars,2.00-4ubuntu1,
blockattack,2.8.0-1build1,
blockout2,2.5+dfsg1-1build3,
blocks-of-the-undead,1.0-7build1,
bluedevil,5.27.11-0ubuntu2,
bluefish,2.2.15-1,
blueman,2.3.5-3deepin0+rb1,
blupimania,1.6.2-17-g5f6cf8b-1,
boats,202008-1build2,
boinc-manager,7.24.1+dfsg-4build1,
bomber,23.08.5-0ubuntu3,
bomberclone,0.11.9-7.1,
bookletimposer,0.3.1-4ubuntu1,
bookworm,1.1.2+git20210715-4build3,
boomaga,3.0.0+git13-g7f7ad47-1build4,
bossa,1.9.1-3ubuntu5,
boswars,2.8-2build2,
bouncy,0.6.20071104-9,
bovo,23.08.5-0ubuntu3,
bpython,0.24-1,
brainparty,0.61+dfsg-7,
brasero,3.12.3-2build4,
brewtarget,3.0.6-1build2,
briquolo,0.5.7-11build2,
brp-pacu,2.1.2+git20210421-1build2,
brutalchess,0.5.2+dfsg-8build1,
bsdgames,2.17-33,
btanks,0.9.8083-9build1,
btop,1.3.0-1,
budgie-arm-environment,0.20.13,
budgie-control-center,1.4.0-2build3,
budgie-core,10.9.1-3ubuntu4,
budgie-desktop-environment,0.20.13,
budgie-desktop-view,1.3-2build1,
budgie-hotcorners-applet,1.8.0-1build3,
budgie-previews,1.8.0-1build3,
budgie-quickchar,1.8.0-1build3,
budgie-wallstreet,1.8.0-1build3,
budgie-welcome,0.6.1,
budgie-window-shuffler,1.8.0-1build3,
bugsquish,0.0.6-10,
bumprace,1.5.8-1,
burgerspace,1.9.5-1build1,
bustle,0.8.0-2build2,
butt,0.1.37-2build4,
buzztrax,0.10.2-9build2,
bzflag-client,2.4.26-1build3,
cadabra2,2.4.5.4-0ubuntu1,
caffeine,2.9.12-1,
cairo-dock-core,3.4.1+git20201103.0836f5d1-1build3,
caja,1.26.3-1build3,
caja-actions,1.27.0-1build3,
caja-dropbox,1.26.0-4build2,
caja-eiciel,1.20.1-3build2,
caja-seahorse,1.18.5-3,
calamares,3.3.5-0ubuntu4,
calamares-settings-debian,13.0.5-1,
calamares-settings-kubuntu,24.04.40,
calamares-settings-lubuntu,24.04.40,
calamares-settings-ubuntu-unity,24.04.40,
calc-common,2.15.0.4-1build2,
calf-plugins,0.90.3-4build2,
calibre,7.6.0+ds-1build1,
calindori,23.08.5-0ubuntu4,
calligra-data,3.2.1+dfsg-8build4,
calligra-gemini,3.2.1+dfsg-8build4,
calligraplan,3.3.0-2build2,
calligrasheets,3.2.1+dfsg-8build4,
calligrastage,3.2.1+dfsg-8build4,
calligrawords,3.2.1+dfsg-8build4,
camera.app,0.8.0-13build4,
camitk-actionstatemachine,5.2.0-1build7,
camitk-imp,5.2.0-1build7,
caneda,0.3.1+gitg08e22168-1build2,
cantata,2.5.0.ds1-2build3,
cantor,23.08.5-0ubuntu4.2,
carburetor,4.5.1-1,
cardpeek,0.8.4-1.3build1,
carla,2.5.8-0ubuntu5,
carmetal,4.3-2,
cataclysm-dda-sdl,0.G-4deepin1,
catfish,4.16.4-2,
caveexpress,2.5.2-2,
cavepacker,2.5.2-2,
cb2bib,2.0.1-2build2,
cc.lotuscard.demo,1.0.0.0,
cdogs-sdl,2.0.0+dfsg-1,
cecilia,5.4.1-2,
ceferino,0.97.8+svn37-3,
celluloid,0.26-1build2,
cen64-qt,20200219-alpha-1build2,
ceni,2.33-4,
cenon.app,4.0.6+ds1-2build5,
cervisia,23.08.5-0ubuntu3,
c-evo-dh-gtk2,1.10-1build3,
cf900,1.0,
cgoban,1.9.14-19,
charmap.app,0.3~rc1-4build3,
charmtimetracker,1.12.0-3build2,
chatty,0.8.2-1ubuntu2,
cheese,44.1-1build4,
cheesecutter,2.9+git20211011-2,
chemtool,1.6.14-6build2,
cherrytree,1.1.2+dfsg-1,
chessx,1.4.6-2build3,
chewing-editor,0.1.1-5build2,
chiaki,2.2.0-1build3,
chirp,20240224-1ubuntu0.1,
chocolate-doom,3.0.1+really3.0.0+git1548-1build2,
choqok,1.7.0-2build2,
chroma,1.19-1ubuntu1,
chromium,128.0.6613.84-1deepin1,
chromium-browser,1snap1-0ubuntu2,
chromium-bsu,0.9.16.1-3,
chromono,1.1.1-1.1,
cinnamon,6.0.4-4,
cinnamon-control-center,6.0.1-3,
cinnamon-screensaver,6.0.3-1build2,
cinnamon-settings-daemon,6.0.0-1build4,
circuslinux,1.0.3-35,
citizen-cx-02-printerdriver,1.0.0-0,
citizen-cx-02s-printerdriver,1.0.0-0,
citizen-cx-02w-printerdriver,1.0.0-0,
citizen-cy-printerdriver,1.0.0-0,
citizen-cz-01-printerdriver,1.0.0-0,
ckb-next,0.6.0+dfsg-0.2build2,
clamtk,6.07-1.1,
clamz,0.5-2.1build2,
clapper,0.5.2-8build2,
classicmenu-indicator,0.11-0ubuntu1,
classified-ads,0.15-1build3,
clawsker,1.3.8-1,
claws-mail,4.2.0-2build7,
clementine,1.4.0~rc1+git867-g9ef681b0e+dfsg-1ubuntu4,
clipit,1.4.5+git20210313-2,
clips,6.30-4.1build1,
cloudcompare,2.11.3-7.1build3,
clustalx,2.1+lgpl-9build2,
clusterssh,4.16-4,
cmake-qt-gui,3.30.5-1,
cmatrix,2.0-6,
cmst,2023.03.14-1build2,
cn.com.hisign.hidscanner,1.0.0-1,
cn.com.hisign.hsivlive,3.10.8,
cn.com.hsic.demo,1.0.0-1,
cn.com.secuprint.smlmfp,1.0.3.0,
cn.com.signpro.hwtabletserv,2.7+b69,
cn.com.signpro.sphttpserv,3.2+b83,
cn.com.tongzhi.crypt.http,1.0.3.4406-1,
cn.com.ultrasec.uskmanager,,
cn.dascom.dc8600-driver,1.0.0,
cndrvcups-utility,1.10-1deepin0,
cn.hengbao.hbd7600-driver,1.0.8,
cn.huahom.pam.unlock,0.1.0,
cn.hzchancel.fifthfootprint,0.0.1,
cn.hzchancel.fouthfootprint,0.0.1,
cn.microdone.passguardservice,1.0.0.0,
cn.microdone.passguardservice.bj,1.0.0.0,
cn.microdone.passguardservice.nb,1.0.0.7,
cn.microdone.signmessenger.hz,1.0.0.0,
cn.microdone.signmessenger.nb,1.0.0.2,
cn.naturalcard.eserver,1.0.0.1,
cn.net.zonewin.smartscanner,1.0.11,
cnrdrvcups-ufr2lt-uk,5.00-1deepin0,
cnrdrvcups-ufr2-uk,5.10-1+rb1,
cn.tianyi.eserver,1.0.0.1,
coccinella,0.96.20-9,
codeblocks-common,20.03+svn13046-0.3build2,
codelite,17.0.0+dfsg-2build2,
codfis,0.4.7-2build4,
colmap,3.9.1-2build2,
colobot,0.2.1-1build3,
colorcode,0.8.7-1build2,
colord-kde,23.08.5-0ubuntu4,
colorhug-client,0.2.8-3build4,
color-picker,1.0.3-2ubuntu3,
colossal-cave-adventure,1.6-1,
com.aisino.sktool,,
com.aisino.tktool,,
com.arc-uds.smartscan,3.1.0.1,
com.avision.a4pq-series,1.0.0-23293,
com.avision.avision-sane,20231120-8.6.10.020,
com.bhyf.bhpainter,2020.12.01-1,
com.binup.fingerprint,1.0.0.1,
com.bjnja.njaep3kgmutil,1.0.2,
com.btit.linuxaction,3.1.10.24194-uosv20,
com.canon.ufr2,6.00-1.00,
com.centerm.gwq,2021.1.29-1,
com.centerm.gwq.common,1.0.0.0-1,
com.colortrac,1.0.7,
com.comet.comet-sane,20240814-11.7.11.063,
com.contexscan,1.0.7,
com.czur.scanner,,
com.deepin.gomoku,1.0.11,
com.deepin.lianliankan,1.0.12,
com.deepin.microbox-scanner,1.2.1,
com.deli.camera,2.1.7.9,
com.delichina.deliscan,4.51.24520.23319,
com.deli.printer-c111,1.0.038,
com.deli.printer-d11,1.10-1,
com.deli.printer-d21,1.10-1,
com.elineprint.e-gm3001-an-3in1,1.0.0-20206,
com.everfine.finger,2021.11.5-1,
com.everspry.escaps,24.7.8.8,
com.eyecool.facesdk,,
com.farshine.ygdevservice,2.5.2,
com.fenglinkeji.scanner,0.0.1-1,
com.founderinternational.founder-sane,20240820-1.6.10.015,
com.founder.linuxaction,2.1.96.24365-uosv20,
com.ftsafe.epass3000gmg-hnxa,1.0.1-1+b1,
com.ftsafe.epass3000gm-spabank,1.2.4-1+b1,
com.ftsafe.interpass3000-cib,1.0.16.d1-1+b1-uos,
com.ftsafe.interpass3000-cmbc,1.3.13.d0-1+b1,
com.ftsafe.interpass3000-lfbk,1.0.7-1+b1,
com.ftsafe.interpass3000-nbbank,1.0.9,
com.ftsafe.interpass3000-rzbank,1.0.1-1+b1,
com.ftsafe.interpass3000-scb,1.0.5-1+b1,
com.ftsafe.interpass3000-wfbank,1.0.0.d1-1+b1,
com.ftsafe.interpass3000zjrc,1.2.21-1+b1,
com.ftsafe.interpasscitic,1.2.8-1+b1,
com.fujitsu.fsane,2.0.1-2
com.fytech.cfs300b,1.0.0,
com.fytech.pfs408,2021.5.8,
